"producer","valve_name","valve_typ","m.cyl","source","coeff","zv"
"ERHARD","RKV","SR","SR","Brochure","c(-2.467, 2.0107, 98.5303)","list(dn = c(100, 125, 150, 200, 250, 300), zvs = c(1, 2.7, 1.6, 1.3, 1.9, 1.4))"
"ERHARD","RKV","SK","SK","Brochure","c(-2.467, 2.0107, 98.5303)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900, 1000, 1200, 1400, 1600, 1800), zvs = c(1.2, 2.9, 2.4, 1.6, 2.5, 1.9, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.4, 1.4, 1.3, 1.1, 1.1, 1, 1))"
"ERHARD","RKV","SZ-60","SZ-60","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(3.1, 8.3, 7.3, 7.6, 8.5, 7.6, 6.49, 6.49, 6.49, 6.49, 6.49, 6.49, 6.49, 6.49))"
"ERHARD","RKV","SZ-08","SZ-08","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(139.89, 374.55, 329.42, 342.96, 383.57, 342.96, 292.87, 292.87, 292.87, 292.87, 292.87, 292.87, 292.87, 292.87))"
"ERHARD","RKV","SZ-10","SZ-10","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(93.26, 249.7, 219.62, 228.64, 255.72, 228.64, 195.25, 195.25, 195.25, 195.25, 195.25, 195.25, 195.25, 195.25))"
"ERHARD","RKV","SZ-12","SZ-12","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(65.29, 174.8, 153.74, 160.06, 179.01, 160.06, 136.68, 136.68, 136.68, 136.68, 136.68, 136.68, 136.68, 136.68))"
"ERHARD","RKV","SZ-15","SZ-15","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(41.97, 112.36, 98.83, 102.89, 115.07, 102.89, 87.86, 87.86, 87.86, 87.86, 87.86, 87.86, 87.86, 87.86))"
"ERHARD","RKV","SZ-20","SZ-20","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(23.31, 62.42, 54.9, 57.16, 63.93, 57.16, 48.81, 48.81, 48.81, 48.81, 48.81, 48.81, 48.81, 48.81))"
"ERHARD","RKV","SZ-25","SZ-25","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(15.85, 42.45, 37.33, 38.87, 43.47, 38.87, 33.19, 33.19, 33.19, 33.19, 33.19, 33.19, 33.19, 33.19))"
"ERHARD","RKV","SZ-30","SZ-30","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(11.66, 31.22, 27.46, 28.58, 31.97, 28.58, 24.41, 24.41, 24.41, 24.41, 24.41, 24.41, 24.41, 24.41))"
"ERHARD","RKV","SZ-35","SZ-35","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(8.39, 22.47, 19.76, 20.58, 23.01, 20.58, 17.57, 17.57, 17.57, 17.57, 17.57, 17.57, 17.57, 17.57))"
"ERHARD","RKV","SZ-40","SZ-40","Brochure","c(-3.2988, 1.5775, 83.927)","list(dn = c(100, 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900), zvs = c(6.53, 17.48, 15.38, 16.01, 17.9, 16.01, 13.67, 13.67, 13.67, 13.67, 13.67, 13.67, 13.67, 13.67))"
